id,Latitude,Longitude
0,219686,144841
1,220073,144391
2,220156,144286
3,220128,141936
4,220458,142358
5,219962,141386
6,219911,144193
7,219900,144193
8,219750,143547
9,220042,142610
10,220370,142219
11,219886,142730
12,219070,141053
13,218961,140985
14,219192,141180
15,219866,144664
16,219754,144840
17,219880,144722
18,220848,143447
19,221264,142991
20,221232,142951
21,220364,144159
22,219667,144839
23,219998,144559
24,218877,144113
25,218614,144385
26,218985,143981
27,221495,142670
28,220998,143416
29,221545,142614
30,218958,145571
31,219178,144325
32,218730,145333
33,220829,143447
34,220615,143592
35,220890,143460
36,220889,143485
37,221311,142908
38,221339,142874
39,218363,145011
40,219006,145395
41,218244,144884
42,220214,142423
43,220326,142221
44,219983,142555
45,219980,144227
46,219975,143683
47,219761,144322
48,220429,142318
49,220734,142548
50,220339,143448
51,218975,144102
52,218986,144001
53,218911,144124
54,220270,142311
55,220881,142751
56,220987,142882
57,219922,141847
58,219852,141743
59,220232,142114
60,219774,144869
61,219243,145511
62,220384,144122
63,220083,143842
64,219799,144011
65,219595,143338
66,219400,141339
67,218894,140953
68,219202,141184
69,220327,143652
70,220065,143513
71,220301,143848
72,219975,141919
73,219915,141442
74,219813,141794
75,218482,144662
76,218464,144661
77,218888,144116
78,218813,144882
79,218527,144933
80,218600,144885
81,218498,144590
82,218427,144690
83,218690,144361
84,219144,145591
85,219010,145571
86,218494,145073
87,218529,143475
88,218239,143978
89,218411,144961
90,220054,143499
91,220406,143620
92,220079,143571
93,220153,141934
94,220125,142010
96,218885,140955
97,219506,141446
98,219966,141820
99,220834,143607
100,221239,142920
101,220715,143774
102,219997,143745
103,220109,144149
104,219773,144445
105,219715,145690
106,218489,145102
107,219216,145615
108,219804,144698
109,219537,145018
110,219755,144696
111,219961,141771
112,220412,142271
113,219894,141792
114,218733,145255
115,218280,144946
116,219400,145799
117,220620,143597
118,220842,143268
119,220468,143884
120,220478,143900
121,220231,143714
122,220419,143790
123,219501,143273
124,219887,143604
125,219687,143478
126,219024,145578
127,219408,145151
128,219613,144857
129,218830,144277
130,218774,144209
131,218536,144612
132,219028,143902
133,218877,144325
134,219069,143822
135,221079,143269
136,221283,142882
137,221032,143338
138,218248,144779
